,Unnamed: 0,rank,name,album,artist,release_date,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,explicit,duration_sec
33,33,34,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,2017-04-14,0.8,0.264,0.585,0.0,0.153,-7.343,0.0924,126.058,0.779,True,213.4
38,38,39,Portland,More Life,Drake,2017-03-18,0.925,0.0172,0.443,0.0,0.276,-8.216,0.264,136.078,0.35,True,236.614
42,42,43,BUTTERFLY EFFECT,BUTTERFLY EFFECT,Travis Scott,2017-05-18,0.763,0.0714,0.598,0.0,0.112,-6.865,0.0539,140.987,0.182,False,190.677
55,55,56,X (feat. Future),Savage Mode,21 Savage,2016-07-15,0.835,0.373,0.413,0.00133,0.101,-9.81,0.396,149.004,0.111,True,258.88
59,59,60,I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,0.556,0.0689,0.538,0.0,0.196,-5.408,0.0382,143.95,0.291,True,223.346
60,60,61,No Problem (feat. Lil Wayne & 2 Chainz),Coloring Book,Chance the Rapper,2016-05-27,0.652,0.156,0.795,0.0,0.123,-5.192,0.174,135.018,0.788,True,304.606
61,61,62,One Dance,Views,Drake,2016-05-06,0.791,0.00784,0.619,0.00423,0.351,-5.886,0.0532,103.989,0.371,False,173.986
62,62,63,Gyalchester,More Life,Drake,2017-03-18,0.877,0.0317,0.391,0.000502,0.0945,-8.196,0.063,131.018,0.122,True,189.229
65,65,66,Moves,I Decided.,Big Sean,2017-02-03,0.812,0.0433,0.522,0.0,0.154,-5.287,0.257,75.524,0.38,True,142.906
66,66,67,ELEMENT.,DAMN.,Kendrick Lamar,2017-04-14,0.748,0.204,0.705,0.0,0.246,-4.547,0.485,189.891,0.483,True,208.733
67,67,68,Go Flex,Stoney (Deluxe),Post Malone,2016-12-09,0.665,0.228,0.498,0.0,0.0757,-8.185,0.0832,81.967,0.127,True,179.613
68,68,69,White Iverson,Stoney (Deluxe),Post Malone,2016-12-09,0.675,0.233,0.562,0.0,0.0816,-7.678,0.0352,130.098,0.309,True,256.533
77,77,78,It's A Vibe,Pretty Girls Like Trap Music,2 Chainz,2017-06-16,0.822,0.0312,0.502,0.000887,0.114,-7.38,0.148,73.003,0.525,True,210.2
78,78,79,Perfect,รท (Deluxe),Ed Sheeran,2017-03-03,0.599,0.163,0.448,0.0,0.106,-6.312,0.0232,95.05,0.168,False,263.4
79,79,80,No Heart,Savage Mode,21 Savage,2016-07-15,0.906,0.136,0.444,6.44e-05,0.173,-8.692,0.384,140.063,0.678,True,235.04
80,80,81,"How Far I'll Go - From ""Moana""","How Far I'll Go (From ""Moana"")",Alessia Cara,2016-10-28,0.314,0.157,0.555,0.000108,0.067,-9.601,0.37,179.666,0.159,False,175.517
81,81,82,Losin Control,There's Really A Wolf,Russ,2017-05-05,0.759,0.515,0.245,0.000154,0.102,-6.545,0.138,96.992,0.209,True,237.506
82,82,83,pick up the phone,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,0.711,0.114,0.739,0.0,0.226,-3.804,0.129,136.919,0.43,True,252.256
83,83,84,You Was Right,Lil Uzi Vert vs. The World,Lil Uzi Vert,2016-05-27,0.843,0.069,0.359,0.0,0.12,-7.417,0.461,81.987,0.156,True,163.944
84,84,85,Call On Me - Ryan Riback Extended Remix,Call On Me (Remixes),Starley,2016-10-14,0.67,0.0604,0.838,0.000611,0.159,-4.031,0.0362,104.998,0.717,False,222.04
87,87,88,Selfish (feat. Rihanna),HNDRXX,Future,2017-07-27,0.415,0.0303,0.369,7.64e-06,0.383,-10.044,0.0741,95.746,0.0913,True,251.422
88,88,89,Weak,The Click,AJR,2017-06-09,0.673,0.137,0.637,0.0,0.184,-4.518,0.0429,123.98,0.678,False,201.16
89,89,90,Silence,Silence,Marshmello,2017-08-11,0.52,0.256,0.761,4.96e-06,0.17,-3.093,0.0853,141.971,0.286,False,180.822
90,90,91,Chill Bill (feat. J. Davi$ & Spooks),Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,2016-06-17,0.886,0.0312,0.427,0.00099,0.0906,-10.028,0.145,108.034,0.23,True,177.184
91,91,92,Scared to Be Lonely,Scared to Be Lonely,Martin Garrix,2017-01-27,0.584,0.0895,0.54,0.0,0.261,-7.786,0.0576,137.972,0.195,False,220.883
93,93,94,Money Longer,Lil Uzi Vert vs. The World,Lil Uzi Vert,2016-05-27,0.795,0.0541,0.568,0.0,0.108,-7.817,0.142,136.173,0.478,True,198.944
94,94,95,New Rules,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,0.762,0.00261,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,0.608,False,209.32
96,96,97,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,0.692,0.301,0.521,0.0,0.0565,-8.465,0.33,100.45,0.463,True,292.986
97,97,98,Party Monster,Starboy,The Weeknd,2016-11-25,0.573,0.189,0.63,2.31e-05,0.259,-8.389,0.105,77.525,0.218,True,249.213
19,19,20,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,0.755,0.533,0.522,0.0,0.0685,-4.368,0.0575,89.96,0.925,False,157.56
20,20,21,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,0.808,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,0.829,True,210.8
21,21,22,Sunday Best,Where the Light Is,Surfaces,2019-01-06,0.878,0.183,0.525,0.0,0.0714,-6.832,0.0578,112.022,0.694,False,158.571
23,23,24,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,0.511,0.349,0.566,0.0,0.34,-7.23,0.2,83.903,0.218,True,239.835
27,27,28,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),Juice WRLD,2019-10-04,0.474,0.0687,0.631,0.0,0.132,-5.884,0.343,180.051,0.425,True,189.322
28,28,29,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,0.716,0.233,0.537,0.0,0.157,-7.648,0.0514,129.979,0.28,True,165.977
31,31,32,Robbery,Death Race For Love,Juice WRLD,2019-03-08,0.685,0.328,0.692,0.0,0.153,-5.122,0.0457,159.966,0.578,True,240.05
35,35,36,Party Girl,Fallin',StaySolidRocky,2020-07-15,0.73,0.747,0.439,0.0,0.0988,-9.864,0.0609,130.09,0.615,False,147.8
36,36,37,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,0.203,True,165.819
37,37,38,Wishing Well,Legends Never Die,Juice WRLD,2020-07-10,0.65,0.00336,0.613,0.0,0.267,-6.13,0.128,149.972,0.0804,True,194.621
39,39,40,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,0.625,0.0172,0.814,0.0,0.158,-5.181,0.0657,144.991,0.535,True,205.484
42,42,43,Righteous,Legends Never Die,Juice WRLD,2020-07-10,0.706,0.0417,0.625,0.0,0.129,-7.426,0.0314,142.948,0.225,True,242.18
43,43,44,Suicidal,Melly vs. Melvin,YNW Melly,2019-11-22,0.735,0.334,0.369,0.0,0.126,-9.682,0.0688,140.004,0.235,True,222.997
44,44,45,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,0.841,0.0847,0.728,0.0,0.149,-3.37,0.0484,130.049,0.43,True,243.836
45,45,46,Walk Em Down (feat. Roddy Ricch),Top Shotta,NLE Choppa,2020-08-10,0.867,0.268,0.744,0.0,0.0713,-5.171,0.227,84.005,0.645,True,173.288
46,46,47,After Party,Heaven Or Hell,Don Toliver,2020-03-13,0.629,0.00981,0.692,0.331,0.603,-8.045,0.0376,162.948,0.453,True,167.915
47,47,48,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,2020-08-28,0.8,0.25,0.658,0.0,0.111,-6.142,0.079,140.042,0.462,True,195.428
48,48,49,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,0.464,0.866,0.473,0.0,0.109,-10.086,0.129,75.801,0.604,False,208.687
49,49,50,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,0.834,0.00513,0.73,0.0,0.124,-3.714,0.222,155.008,0.446,True,312.82
11,11,12,Good Days,Good Days,SZA,2020-12-25,0.436,0.499,0.655,8.1e-06,0.688,-8.37,0.0583,121.002,0.412,True,279.204
15,15,16,Streets,Hot Pink,Doja Cat,2019-11-07,0.749,0.21,0.463,0.0382,0.338,-8.433,0.0842,90.035,0.189,True,226.986
25,25,26,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,0.612,0.0495,0.807,0.0177,0.101,-2.81,0.0336,124.053,0.398,False,240.4
30,30,31,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,2020-08-28,0.8,0.25,0.658,0.0,0.111,-6.142,0.079,140.042,0.462,True,195.428
31,31,32,Martin & Gina,THE GOAT,Polo G,2020-05-15,0.832,0.345,0.534,0.0,0.165,-7.813,0.253,93.924,0.116,True,132.832
32,32,33,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,0.511,0.349,0.566,0.0,0.34,-7.23,0.2,83.903,0.218,True,239.835
33,33,34,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,0.671,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,0.203,True,165.819
36,36,37,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,0.755,0.533,0.522,0.0,0.0685,-4.368,0.0575,89.96,0.925,False,157.56
37,37,38,favorite crime,SOUR,Olivia Rodrigo,2021-05-21,0.369,0.866,0.272,0.0,0.147,-10.497,0.0364,172.929,0.218,False,152.666
40,40,41,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,0.553,False,215.28
42,42,43,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,0.692,0.301,0.521,0.0,0.0565,-8.465,0.33,100.45,0.463,True,292.986
44,44,45,Wishing Well,Legends Never Die,Juice WRLD,2020-07-10,0.65,0.00336,0.613,0.0,0.267,-6.13,0.128,149.972,0.0804,True,194.621
46,46,47,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,0.746,0.247,0.69,0.0,0.101,-7.956,0.164,89.977,0.497,True,181.733
47,47,48,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,0.625,0.0172,0.814,0.0,0.158,-5.181,0.0657,144.991,0.535,True,205.484
48,48,49,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,0.935,0.0194,0.454,0.0,0.0824,-7.509,0.375,133.073,0.357,True,187.541
